建筑ID,KEY,文本,建筑成本,启用科技,过时科技,国策要求,国教,宗教,帮助,策略
102,TXT_KEY_BUILDING_WHARF,码头,140,罗盘( Compass ),,,,,,"<color=204,204,216,255>码头</color>增加该城市的贸易路线收入，并增加该城市的健康，因为可以访问<color=102,229,255,255>蚌</color>、<color=102,229,255,255>蟹</color>和<color=102,229,255,255>鱼</color>资源。建造<color=204,204,216,255>特拉法加广场</color>世界奇观需要一个<color=204,204,216,255>码头</color>。"
103,TXT_KEY_BUILDING_COFFEEHOUSE,咖啡馆,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>咖啡馆</color>增加城市的文化产出。他们还可以使用<color=102,229,255,255>咖啡<color=102,229,255,255>、<color=102,229,255,255>糖<color=102,229,255,255>、<color=102,229,255,255>茶<color=102,229,255,255>或<color=102,229,255,255>烟草<color=102,229,255,255>，增加城市的幸福感。"
104,TXT_KEY_BUILDING_FRENCH_SALON,沙龙,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>沙龙</color>是法国的特色建筑，替代<color=204,204,216,255>天文台</color>，提升所在城市文化，加快<color=102,229,255,255>伟人</color>出现速度，可将一个<color=102,229,255,255>市民</color>转化为<color=102,229,255,255>政治家</color>。"
105,TXT_KEY_BUILDING_CHINESE_PAVILLION,舞榭,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>展览馆</color>是<color=204,204,216,255>中国文明的咖啡馆的替代品<color=102,229,255,255>允许增加1名艺术家</color>。"
106,TXT_KEY_BUILDING_ENGLAND_PUBLIC_HOUSE,英国酒吧,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>英国酒吧</color>是<color=204,204,216,255>咖啡厅</color>的英文替代品，增加了贸易路线收益。"
107,TXT_KEY_BUILDING_JAPAN_TEAHOUSE,日本茶室,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>茶馆</color>茶馆<color=204,204,216,255>咖啡厅</color>的日文替代品，通过访问<color=102,229,255,255>Tea</color>，增加商业和间谍活动输出。"
108,TXT_KEY_BUILDING_KHMER_PAGODA,高棉佛塔,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>宝塔</color>是高棉人对<color=204,204,216,255>咖啡馆的替代品<color=102,229,255,255>神父</color>。"
109,TXT_KEY_BUILDING_VIKING_MEADHALL,维京咖啡馆,120,艺术赞助( Patronage ),,,,,,"<color=204,204,216,255>Meadhall</color>是维京人取代<color=204,204,216,255>咖啡屋</color>的产品，增加了幸福感。"
110,TXT_KEY_BUILDING_BANK,银行,200,金融学( Finance ),,,,,,"<color=204,204,216,255>银行</color>可大大提升城市商业收入。<color=204,204,216,255>银行</color>是建造<color=204,204,216,255>华尔街</color>国家奇观的前提。"
111,TXT_KEY_BUILDING_ENGLISH_ROYAL_EXCHANGE,皇家交易所,200,金融学( Finance ),,,,,,"<color=204,204,216,255>皇家交易所</color>是英格兰的特色建筑，替代<color=204,204,216,255>银行</color>，更大幅增加所在城市的金币产出。"
112,TXT_KEY_BUILDING_MALI_SALT_MINE,马里盐矿,200,金融学( Finance ),,,,,,"<color=204,204,216,255>马里盐矿<color=102,229,255,255>银行</color>的马里替代品<color=102,229,255,255>商店</color>和一名<color=102,229,255,255>工程师</color>。"
113,TXT_KEY_BUILDING_SWEDEN_RIKSBANK,瑞典皇家银行,200,金融学( Finance ),,,,,,"瑞典的<color=204,204,216,255>瑞典皇家银行</color>极大地增加了一个城市的财富生产，并提高了一个城市的<color=102,229,255,255>伟人</color>的出生率。"
114,TXT_KEY_BUILDING_MANCHURIA_PIAOHAO,满清票号,200,金融学( Finance ),,,,,,"<color=204,204,216,255>票号</color>是满洲人对<color=204,204,216,255>银行的替代品，储存食物。"
115,TXT_KEY_BUILDING_CONSTABULARY,警察局,150,司法( Judiciary ),,,,,,"<color=204,204,216,255>警察局</color>降低城市的<color=102,229,255,255>厌战</color>并增加间谍活动。他们还增加了使用间谍滑块的幸福输出。"
116,TXT_KEY_BUILDING_CANADIAN_ROYAL_MOUNTED_POLICE,皇家骑警署,150,司法( Judiciary ),,,,,,"<color=204,204,216,255>皇家骑警署</color>是加拿大的特色建筑，替代<color=204,204,216,255>警察局</color>，能增加<color=102,229,255,255>马</color>资源带来的快乐。"
117,TXT_KEY_BUILDING_CUSTOMS_HOUSE,海关,180,物流( Logistics ),,,,,,"<color=204,204,216,255>海关</color>增加城市海外商路产生的商业。所在城市拥有<color=204,204,216,255>海关</color>是建造<color=204,204,216,255>集装箱码头</color>的前提。"
118,TXT_KEY_BUILDING_PORTUGUESE_FEITORIA,费里亚托,180,物流( Logistics ),,,,,,"<color=204,204,216,255>Feitoria</color>，葡萄牙人取代<color=204,204,216,255>海关</color>，提高了水田的商业产出。"
119,TXT_KEY_BUILDING_ITALY_COLLEGANTIA,意大利海关,180,物流( Logistics ),,,,,,"<color=204,204,216,255>Collegantia</color>是意大利替代<color=204,204,216,255>海关大楼</color>，不需要<color=204,204,216,255>港口</color>或海岸。"
120,TXT_KEY_BUILDING_TAMIL_TRADE_GUILD,泰米尔行会,180,物流( Logistics ),,,,,,"<color=204,204,216,255>Trade Guild</color>，泰米尔人取代了<color=204,204,216,255>海关大楼</color>，增加了财富。"
121,TXT_KEY_BUILDING_AUSTRALIAN_IMMIGRATION_OFFICE,澳大利亚移民局,180,物流( Logistics ),,,,,﯆增加了吸引移民的机会,"<color=204,204,216,255>移民局</color>是澳大利亚替代<color=204,204,216,255>海关大楼</color>的地方，可在每个城市修建，并提供额外的贸易路线。"
122,TXT_KEY_BUILDING_UNIVERSITY,大学,200,学术精神( Academia ),,,,,,"<color=204,204,216,255>大学</color>提升城市的科研能力并产生文化值。<color=204,204,216,255>大学</color>是建造<color=204,204,216,255>牛津大学</color>国家奇观的前提。"
123,TXT_KEY_BUILDING_KOREAN_SEOWON,私塾,200,造纸术( Paper ),,,,,,"<color=204,204,216,255>私塾</color>是高丽的特色建筑，替代<color=204,204,216,255>大学</color>，提升城市科研能力的作用比<color=204,204,216,255>大学</color>更强，并能提供文化点数。"
124,TXT_KEY_BUILDING_TIBETAN_GOMPA,禅修堂,200,造纸术( Paper ),,,,,,"<color=204,204,216,255>贡帕</color>，藏语替代<color=204,204,216,255>大学</color>，提供较少的研究，增加一个城市对预火药单位的防御，允许你雇用一个<color=102,229,255,255>牧师</color>专家，提供免费的<color=102,229,255,255>牧师</color>专家，不需要<color=204,204,216,255>库</color>，并且需要<color=127,255,25,255>纸张</color>技术，而不是<color=127,255,25,255>学术界</color>技术。"
125,TXT_KEY_BUILDING_AMERICA_PUBLIC_UNIVERSITY,美国公立大学,200,学术精神( Academia ),,,,,,"<color=204,204,216,255>美国公立大学</color>是美国取代<color=204,204,216,255>大学</color>的大学，它增加了一个城市的财富产出。"
126,TXT_KEY_BUILDING_ARABIA_NIZAMIYYA,阿拉伯尼札米亚学校,200,学术精神( Academia ),,,,,,"<color=102,229,255,255>尼札米亚</color>尼扎米耶<color=102,229,255,255>大学</color>的阿拉伯替代品，允许您雇佣一名<color=102,229,255,255>牧师</color>和一名<color=102,229,255,255>科学家</color>。"
127,TXT_KEY_BUILDING_CIVIC_SQUARE,市民广场,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>市民广场</color>增加城市的文化输出。他们还提高了一个城市的<color=102,229,255,255>伟人</color>出生率，并允许你雇用一位<color=102,229,255,255>政治家</color>专家。"
128,TXT_KEY_BUILDING_HOLY_ROMAN_RATHAUS,议会厅,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>议会厅</color>为神圣罗马的特色建筑，替代<color=204,204,216,255>法庭</color>，可使城市维护费大幅减少。"
129,TXT_KEY_BUILDING_POLISH_SEJMIK,贵族议会,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>波兰地区议会</color>，波兰替代<color=204,204,216,255>法院</color>，提供少量现金和幸福奖金。"
130,TXT_KEY_BUILDING_BRAZIL_SAMBADROME,巴西桑巴广场,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>巴西桑巴广场</color>是巴西的<color=204,204,216,255>公民广场</color>的替代品，增加了幸福感。"
131,TXT_KEY_BUILDING_CONGO_WENE,刚果广场,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>刚果广场</color>，刚果人对<color=204,204,216,255>公民广场的替代品，提供了一个免费的<color=102,229,255,255>政治家</color>。"
132,TXT_KEY_BUILDING_INDONESIA_PENDOPO,印尼公民广场,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>印尼公民广场</color>是印度尼西亚的<color=204,204,216,255>公民广场</color>的替代品，允许您雇佣一名<color=102,229,255,255>工程师</color>。"
133,TXT_KEY_BUILDING_VIETNAM_DINH,越南市民广场,150,治国术( Statecraft ),,,,,,"<color=204,204,216,255>Dinh</color>，越南替代<color=204,204,216,255>市民广场</color>的UB，为本市所有符合条件的军事单位提供<color=102,229,255,255>城市守卫I</color>升级。"
134,TXT_KEY_BUILDING_TIWANAKU_KALASASAYA,卡拉萨萨亚神庙,100,建筑构造学( Construction ),,,,,,TXT_KEY_BUILDING_TIWANAKU_KALASASAYA_STRATEGY
135,TXT_KEY_BUILDING_SEWER,城市排水系统,150,城市规划( Urban_planning ),,,,,,"<color=204,204,216,255>下水道</color>改善城市健康。<color=204,204,216,255>建造<color=204,204,216,255>修道院米尔斯</color>世界奇观需要下水道</color>。"
136,TXT_KEY_BUILDING_HARAPPAN_SEWER,哈拉帕城市排水系统,100,水泥( Cement ),,,,,,"<color=204,204,216,255>哈拉帕城市排水系统</color>，哈拉帕替代<color=204,204,216,255>下水道</color>，更便宜，不需要<color=127,255,25,255>城市规划</color>技术，但需要<color=127,255,25,255>水泥</color>技术。"
137,TXT_KEY_BUILDING_STAR_FORT,星堡,150,城市规划( Urban_planning ),,,,,,"<color=204,204,216,255>星际堡垒</color>减少所有单位的轰炸伤害。"
138,TXT_KEY_BUILDING_MUGHAL_FORT,莫卧尔星堡,150,城市规划( Urban_planning ),,,,,,"<color=204,204,216,255>Qila</color>是莫卧儿帝国<color=204,204,216,255>星堡的替代品，为火药部队提供经验。"
139,TXT_KEY_BUILDING_RUSSIA_KREMLIN,俄罗斯内城,150,城市规划( Urban_planning ),,,,,,"<color=204,204,216,255>Kremlin</color>, 是俄罗斯取代<color=204,204,216,255>星堡</color>的，它增加了间谍活动的数量，帮助挫败对手的间谍，并为<color=255,255,0,255>间谍单位</color>提供经验。"
140,TXT_KEY_BUILDING_BOER_PLAAS,波尔星堡,150,城市规划( Urban_planning ),,,,,,"<color=204,204,216,255>Plaas</color>是波尔人对<color=204,204,216,255>星堡</color>的替代品，提供两种额外的食物。"
141,TXT_KEY_BUILDING_ESTATE,庄园,120,园艺( Horticulture ),,,,,,"<color=204,204,216,255>庄园</color>大幅增加了一个城市的文化产出。它们还可以通过使用文化滑块增加幸福感输出，并允许您雇用一名<color=102,229,255,255>艺术家<color=102,229,255,255>和<color=102,229,255,255>政治家<color=102,229,255,255>专家。"
142,TXT_KEY_BUILDING_MUGHAL_MAUSOLEUM,陵墓,120,遗产( Heritage ),,,,,,"<color=204,204,216,255>陵墓</color>，莫卧儿人取代<color=204,204,216,255>庄园</color>，需要<color=127,255,25,255>遗产</color>技术，而不是<color=127,255,25,255>园艺</color>技术，并提供免费<color=102,229,255,255>艺术家</color>"
143,TXT_KEY_BUILDING_BRAZILIAN_FAZENDA,巴西农场,120,园艺( Horticulture ),,,,,,"<color=204,204,216,255>巴西农场</color>是巴西的特色建筑，替代<color=204,204,216,255>庄园</color>，增加已开发的<color=102,229,255,255>香蕉</color>、<color=102,229,255,255>香料</color>、<color=102,229,255,255>糖</color>、<color=102,229,255,255>咖啡</color>和<color=102,229,255,255>烟草</color>资源地块产出。"
144,TXT_KEY_BUILDING_COLOMBIAN_HACIENDA,哥伦比亚庄园,120,园艺( Horticulture ),,,,,,"<color=204,204,216,255>哥伦比亚庄园</color>是哥伦比亚的特色建筑，替代<color=204,204,216,255>庄园</color>，增加已开发的<color=102,229,255,255>香蕉</color>和<color=102,229,255,255>咖啡</color>资源地块产出。"
145,TXT_KEY_BUILDING_FRANCE_CHATEAU,法国庄园,120,园艺( Horticulture ),,,,,,"<color=204,204,216,255>法国庄园</color>是<color=204,204,216,255>庄园</color>的法国替代品，允许您另外雇佣一名<color=102,229,255,255>艺术家</color>和<color=102,229,255,255>政治家</color>。"
146,TXT_KEY_BUILDING_POLAND_FOLWARK,波兰庄园,120,园艺( Horticulture ),,,,,,"<color=204,204,216,255>Folwark</color>是<color=204,204,216,255>庄园</color>的波兰替代品，在生长后储存食物。"
147,TXT_KEY_BUILDING_PORTUGAL_COLONY_ADMINISTRATION,葡萄牙殖民管理局,120,园艺( Horticulture ),,,,,,"<color=204,204,216,255>殖民管理局</color>是葡萄牙对<color=204,204,216,255>庄园</color>的替代品，为其半径的每个<color=102,229,255,255>种植园提供免费专家。"
148,TXT_KEY_BUILDING_DRYDOCK,干船坞,120,水利工程( Hydraulics ),,,,,,"<color=204,204,216,255>干船坞</color>在你卷入海战时将非常有用。<color=204,204,216,255>干船坞</color>能更快地建造舰船，并提供额外经验点，但<color=204,204,216,255>干船坞</color>也会影响城市健康度。"
149,TXT_KEY_BUILDING_LEVEE,防洪堤,250,水利工程( Hydraulics ),,,,,,"建造<color=204,204,216,255>防洪堤</color>可使沿河地块额外增加1单位产能。"
150,TXT_KEY_BUILDING_DUTCH_DIKE,堤防,200,水利工程( Hydraulics ),,,,,,"<color=204,204,216,255>堤坝</color>，荷兰人取代了<color=204,204,216,255>堤坝</color>，从一个城市生产的所有水砖中获得生产奖金。"
151,TXT_KEY_BUILDING_THAI_FLOATING_MARKET,泰国水上市场,180,水利工程( Hydraulics ),,,,,,"<color=204,204,216,255>泰国浮动市场</color>，泰国替代<color=204,204,216,255>堤坝</color>，增加了河边瓷砖的商业收益。"
152,TXT_KEY_BUILDING_OBSERVATORY,天文台,150,物理学( Physics ),,,,,,"<color=204,204,216,255>天文台</color>提升城市科研能力。是建造<color=204,204,216,255>实验室</color>的前提。"
153,TXT_KEY_BUILDING_EGYPT_PYRAMID,埃及库什特金字塔,120,数学( Mathematics ),,,,,,"<color=204,204,216,255>库什特金字塔</color>是埃及替代<color=204,204,216,255>天文台</color>的替代品，更便宜，不需要<color=127,255,25,255>物理</color>技术，需要<color=127,255,25,255>数学</color>技术，并且需要<color=204,204,216,255>库</color>存在。"
154,TXT_KEY_BUILDING_MAYA_KATUN,玛雅纪念碑,150,物理学( Physics ),,,,,,"<color=204,204,216,255>K'atun</color>是玛雅人对<color=204,204,216,255>天文台的替代品，它增加了城市的科学产出。如果<color=102,229,255,255>Stone</color>可用，则可以非常快速地构建它。"
155,TXT_KEY_BUILDING_WAREHOUSE,仓库,200,测量学( Measurement ),,,,,,"<color=204,204,216,255>仓库</color>增加一个城市的财富，允许你雇佣两个<color=102,229,255,255>商人</color>专家。<color=204,204,216,255>仓库</color>需要建立<color=204,204,216,255>物流中心</color>。"
156,TXT_KEY_BUILDING_NOVGOROD_KONETS,康茨商栈,150,机械( Machinery ),,,,,,TXT_KEY_BUILDING_NOVGOROD_KONETS_STRATEGY
157,TXT_KEY_BUILDING_COURTHOUSE,法庭,200,社会契约( Social_contract ),,,,,,"<color=204,204,216,255>法庭</color>降低城市维护费，增加谍报点数产出，并是建造<color=204,204,216,255>紫禁城</color>国家奇观的前提.<color=204,204,216,255>法庭</color>可帮助维持广阔的帝国。"
158,TXT_KEY_BUILDING_TATAR_ORDA,白帐,150,火药( Gunpowder ),,,,,,白帐
159,TXT_KEY_BUILDING_ETHIOPIA_XEER,埃塞尔比亚法院,100,社会契约( Social_contract ),,,,,,"<color=204,204,216,255>埃塞尔比亚法院</color>是埃塞俄比亚替代<color=204,204,216,255>法院大楼</color>的便宜得多。"
160,TXT_KEY_BUILDING_PERSIA_SATRAP_COURT,波斯萨特拉普法院,200,贵族( Nobility ),,,,,,"<color=204,204,216,255>Satrap Court</color>，波斯语替代了<color=204,204,216,255>法院</color>，增加了幸福感。"
161,TXT_KEY_BUILDING_KIEVAN_RUS_VECHE,基辅罗斯法院,60,律法( Law ),,,,,,TXT_KEY_BUILDING_KIEVAN_RUS_VECHE_STRATEGY
162,TXT_KEY_BUILDING_LITHUANIAN_SEIMELIS,塞米利斯(Seimelis),200,社会契约( Social_contract ),,,,,,TXT_KEY_BUILDING_LITHUANIAN_SEIMELIS_STRATEGY
163,TXT_KEY_BUILDING_FACTORY,工厂,250,机床( Machine_tools ),,,,,,"<color=204,204,216,255>工厂</color>提升城市生产力，但会显著影响健康度。<color=204,204,216,255>工厂</color>是建造<color=204,204,216,255>火电站</color>、<color=204,204,216,255>水电站</color>，或<color=204,204,216,255>核电站</color>的前提，在拥有相应资源的情况下能提升生产力。"
164,TXT_KEY_BUILDING_GERMAN_ASSEMBLY_PLANT,装配工厂,250,机床( Machine_tools ),,,,,,"<color=204,204,216,255>装配工厂</color>是德国的特色建筑，替代<color=204,204,216,255>工厂</color>，为所在城市组建的装甲单位提供经验，并在所在城市增加一名免费<color=102,229,255,255>工程师</color>，可将一个<color=102,229,255,255>市民</color>转化为<color=102,229,255,255>工程师</color>。拥有<color=102,229,255,255>煤</color>资源可使装配工厂建造速度加快50%。"
165,TXT_KEY_BUILDING_JAPANESE_ZAIBATSU,日本财阀,125,机床( Machine_tools ),,,,,,"<color=204,204,216,255>财阀</color>，日本取代<color=204,204,216,255>工厂</color>，更便宜，给一个免费的<color=102,229,255,255>工程师</color>专家和提高商业产出的水田。"
166,TXT_KEY_BUILDING_DISTILLERY,酿酒厂,180,化学( Chemistry ),,,,,,"<color=204,204,216,255>酒厂</color>增加城市的不健康，并提高COLOR_HIGHLIGHT_TEXT]大米</color>、COLOR_HIGHLIGHT_TEXT]小麦</color>、COLOR_HIGHLIGHT_TEXT]糖</color>和COLOR_HIGHLIGHT_TEXT]葡萄酒</color>的瓷砖产量。"
167,TXT_KEY_BUILDING_PARK,公园,200,生物学( Biology ),,,,,,"<color=204,204,216,255>公园</color>增加城市的健康和幸福。"
168,TXT_KEY_BUILDING_ISRAELI_KIBBUTZ,以色列基布兹,200,社会学( Sociology ),,,,,,"<color=204,204,216,255>基布兹</color>是以色列取代<color=204,204,216,255>公园</color>的地方，它提供额外的食物，并提高一个城市的<color=102,229,255,255>伟人</color>的出生率。"
169,TXT_KEY_BUILDING_MISSISSIPPI_EFFIGY_MOUND,雕像墩,100,简单机械( Leverage ),,,,,,TXT_KEY_BUILDING_MISSISSIPPI_EFFIGY_MOUND_STRATEGY
170,TXT_KEY_BUILDING_COAL_PLANT,火电站,150,内燃机( Engine ),,,,,,"<color=204,204,216,255>火电站</color>为工厂提供电力，但其造成的污染会影响城市健康度。"
171,TXT_KEY_BUILDING_RAILWAY_STATION,火车站,250,铁路( Railroad ),,,,,,"<color=204,204,216,255>火车站</color>增加城市的不健康，提供额外的贸易路线，并允许您雇用一名<color=102,229,255,255>工程师</color>专家。<color=204,204,216,255>火车站</color>需要建造<color=204,204,216,255>城堡Frontenac</color>world wonder"
172,TXT_KEY_BUILDING_LABORATORY,实验室,250,电学( Electricity ),,,,,,"<color=204,204,216,255>实验室</color>可提升城市的科研能力及太空飞船建造能力，但也会影响健康度。"
173,TXT_KEY_BUILDING_RUSSIAN_RESEARCH_INSTITUTE,研究所,250,电学( Electricity ),,,,,,"<color=204,204,216,255>研究所</color>是俄国的特色建筑，替代<color=204,204,216,255>实验室</color>，使所在城市可免费额外供养科学家，并提升科学研究和太空飞船建造速度。"
174,TXT_KEY_BUILDING_NEWS_PRESS,新闻出版社,200,新闻业( Journalism ),,,,,,"<color=204,204,216,255>新闻媒体</color>增加城市的文化产出。他们还提高了一个城市的<color=102,229,255,255>伟人</color>出生率，并允许你雇用一位<color=102,229,255,255>政治家</color>专家。"
175,TXT_KEY_BUILDING_INDUSTRIAL_PARK,工业园区,150,生产流水线( Assembly_line ),,,,,,"建成<color=204,204,216,255>工业园区</color>允许增加两位工程师，再免费供养一位工程师。其代价是增加城市的疾病值。"
176,TXT_KEY_BUILDING_CINEMA,电影院,200,电影( Film ),,,,,,"<color=204,204,216,255>电影院</color>增加城市的文化产出。它们还可以增加幸福感的输出，如果你可以访问<color=102,229,255,255>热门单曲</color>，并允许你雇佣一位<color=102,229,255,255>艺术家</color>专家，则会增加幸福感的输出。"
177,TXT_KEY_BUILDING_HOSPITAL,医院,200,微生物学( Microbiology ),,,,,,"<color=204,204,216,255>医院</color>可帮助单位恢复战斗力，并提升城市健康度。<color=204,204,216,255>医院</color>是建造<color=204,204,216,255>红十字会</color>国家奇观的前提。"
178,TXT_KEY_BUILDING_MEXICO_MENDICANT_ORDER,墨西哥医院,200,微生物学( Microbiology ),,,,,,"<color=204,204,216,255>Mendicant Order</color>是墨西哥对<color=204,204,216,255>医院的替代品，可以增加健康并提供食物奖励。"
179,TXT_KEY_BUILDING_SUPERMARKET,超级市场,150,消费主义( Consumerism ),,,,,,"<color=204,204,216,255>超级市场</color>提升城市健康度，如拥有<color=102,229,255,255>野鹿</color>、<color=102,229,255,255>牛群</color>、<color=102,229,255,255>家猪</color>或<color=102,229,255,255>绵羊</color>还可提升其效果。"
180,TXT_KEY_BUILDING_ARGENTINE_REFRIGERATION_PLANT,冷藏库,150,消费主义( Consumerism ),,,,,,"<color=204,204,216,255>冷藏库</color>是阿根廷的特色建筑，替代COLOR_BUILDING_TEXT]超级市场</color>，增加已开发的<color=102,229,255,255>牛</color>、<color=102,229,255,255>鹿</color>和<color=102,229,255,255>猪</color>资源地块产出。"
181,TXT_KEY_BUILDING_PUBLIC_TRANSPORTATION,公交系统,150,基础设施( Infrastructure ),,,,,,"<color=204,204,216,255>公交系统</color>提升城市健康度，如有<color=102,229,255,255>石油</color>再额外增加健康，如实行<color=102,229,255,255>绿色经济</color>再额外增加健康度。"
182,TXT_KEY_BUILDING_DEPARTMENT_STORE,百货商场,200,石油化工( Synthetics ),,,,,,"<color=204,204,216,255>百货商店</color>在有权使用电力的城市增加财富，并允许您雇用一名<color=102,229,255,255>商人</color>专家。"
183,TXT_KEY_BUILDING_AMERICAN_MALL,购物中心,200,石油化工( Synthetics ),,,,,,"<color=204,204,216,255>购物中心</color>是美国的特色建筑，替代<color=204,204,216,255>百货商店</color>，在城市通电的情况下，可大幅增加城市金币产出，并能增加<color=102,229,255,255>热门足球赛事</color>、<color=102,229,255,255>热门单曲</color>和<color=102,229,255,255>卖座电影</color>资源为城市带来的快乐度。"
184,TXT_KEY_BUILDING_BROADCAST_TOWER,广播塔,175,无线电( Radio ),,,,,,"<color=204,204,216,255>广播塔</color>可大大提升城市文化产出。并可提升通过文化滑杆调整快乐度的能力。"
185,TXT_KEY_BUILDING_CANADA_MICROWAVE,加拿大微波站,175,无线电( Radio ),,,,,,"<color=204,204,216,255>加拿大微波站</color>是加拿大替代<color=204,204,216,255>广播塔</color>的设备，它能更大程度地提高文化输出。"
186,TXT_KEY_BUILDING_INTELLIGENCE_AGENCY,情报局,180,心理学( Psychology ),,,,,,"建成<color=204,204,216,255>情报局</color>可增加城市谍报点数。并允许增加两位间谍类专业人员。"
187,TXT_KEY_BUILDING_ELECTRICAL_GRID,电网,150,社会服务( Social_services ),,,,,,"<color=204,204,216,255>电网</color>增加有电力供应的城市的商业产出。<color=204,204,216,255>构建<color=204,204,216,255>光纤网络</color>需要电网</color>。"
188,TXT_KEY_BUILDING_AIRPORT,机场,250,航空学( Aviation ),,,,,,"<color=204,204,216,255>机场</color>可使城市商路增加，使城市新建空军单位获得经验奖励，并提升城市可容纳空军单位数量。拥有<color=204,204,216,255>机场</color>的城市每回合可空运一个单位到其他城市，空军单位容纳数量+4（总计为8）。<color=204,204,216,255>机场</color>也会影响城市健康度。"
189,TXT_KEY_BUILDING_BUNKER,地堡,100,火箭( Rocketry ),,,,,,"<color=204,204,216,255>地堡</color>减少空中单位造成的破坏。可在敌方拥有强大空军时（或之前！）建造。"
190,TXT_KEY_BUILDING_PRUSSIA_PILLBOX,普鲁士碉堡,100,雷达技术( Radar ),,,,,,"<color=204,204,216,255>碉堡</color>是普鲁士人对<color=204,204,216,255>掩体的替代品，它降低了敌方轰炸机的伤害并降低了战争疲劳。"
191,TXT_KEY_BUILDING_BOMB_SHELTER,防空洞,100,核裂变( Fission ),,,,,,"<color=204,204,216,255>防空洞</color>减少核打击造成的破坏。应在重要的城市建造。"
192,TXT_KEY_BUILDING_HYDRO_PLANT,水电站,200,数码产品( Electronics ),,,,,,"<color=204,204,216,255>水电站</color>为<color=204,204,216,255>工厂</color>提供电力，且不会造成污染。"
193,TXT_KEY_BUILDING_SECURITY_BUREAU,安全局,220,雷达技术( Radar ),,,,,,"<color=204,204,216,255>安全局</color>增加敌方在其城市的间谍任务成本，并将<color=102,229,255,255>线人I</color>授予在其城市建造的<color=255,255,0,255>间谍单元</color>。"
194,TXT_KEY_BUILDING_STADIUM,体育场,200,电视机( Television ),,,,,,"<color=204,204,216,255>体育场</color>提供快乐，增加城市的文化产出，获得权力。如果你能进入 <color=102,229,255,255>足球比赛</color>，他们也会增加你的快乐。"
195,TXT_KEY_BUILDING_CONTAINER_TERMINAL,集装箱码头,300,雷达技术( Radar ),,,,,,"<color=204,204,216,255>集装箱码头</color>增加城市外贸路线产生的商业。"
196,TXT_KEY_BUILDING_NUCLEAR_PLANT,核电站,250,核能( Nuclear_power ),,,,,,"在拥有<color=102,229,255,255>铀</color>的情况下，<color=204,204,216,255>核电站</color>可为<color=204,204,216,255>工厂</color>提供电力。"
197,TXT_KEY_BUILDING_SUPERCOMPUTER,超级计算机,400,电子计算机( Computers ),,,,,,"<color=204,204,216,255>超级计算机</color>增加了一个城市的科学研究，使你有机会获得电力，并允许你雇用一位<color=102,229,255,255>科学家</color>专家。"
198,TXT_KEY_BUILDING_HOTEL,酒店,200,旅游业( Tourism ),,,,,,"<color=204,204,216,255>酒店</color>增加城市的文化输出。它们还增加了贸易路线的产量，并增加了贸易路线的产量，每一个层次的文化。"
199,TXT_KEY_BUILDING_COLOMBIA_RESORT,哥伦比亚度假村,200,旅游业( Tourism ),,,,,,"<color=204,204,216,255>哥伦比亚度假村</color>是哥伦比亚取代<color=204,204,216,255>酒店的酒店</color>，为不同文化层次的贸易路线收益率提供了越来越高的收益率。"
200,TXT_KEY_BUILDING_RECYCLING_CENTER,回收中心,300,生态学( Ecology ),,,,,,"<color=204,204,216,255>回收中心</color>可消除城市设施带来的污染，例如<color=204,204,216,255>煅造场</color>和<color=204,204,216,255>工场</color>，污染问题在大城市中相当严重。"
201,TXT_KEY_BUILDING_LOGISTICS_CENTER,物流中心,400,移动通信( Telecommunications ),,,,,,"<color=204,204,216,255>物流中心</color>增加城市的财富，获得电力，并允许您雇用一名<color=102,229,255,255>商人</color>专家。"
202,TXT_KEY_BUILDING_SOLAR_PLANT,太阳能发电厂,200,可再生能源( Renewable_energy ),,,,,,"<color=204,204,216,255>太阳能发电厂</color>提供无污染电力。"
203,TXT_KEY_BUILDING_FIBER_NETWORK,光纤网络,500,超导( Superconductors ),,,,,,"<color=204,204,216,255>光纤网络</color>增加有电力供应的城市的商业产出。"
204,TXT_KEY_BUILDING_AUTOMATED_FACTORY,自动化工厂,500,自动化( Automation ),,,,,,"<color=204,204,216,255>自动化工厂</color>在有电力供应的城市增加产量，并允许您雇用一名<color=102,229,255,255>工程师</color>专家。"
205,TXT_KEY_BUILDING_VERTICAL_FARM,垂直农场,500,生物科技( Biotechnology ),,,,,,"<color=204,204,216,255>垂直农场</color>在有电力供应的城市增加粮食产量。"
206,TXT_KEY_BUILDING_JEWISH_TEMPLE,犹太礼拜堂,80,,,,,犹太教,,"<color=204,204,216,255>寺庙</color>提升城市的快乐度和文化值。在游戏早期是扩展文明边界的有效方法。"
